Codigo,Estacion,Longitud,Latitud,Ciudad,mean_pm25
12,Estación Tráfico Centro,-75.56958,6.25256,Medellin,29.054520466089034
25,"Medellín,  centro occidente - Universidad Nacional, sede El Volador",-75.577,6.26337,Medellin,24.39039112667834
28,Itagüí - Casa de Justicia Itagüí,-75.59721,6.18567,Medellin,24.682581548695804
31,Caldas - Corporacion Universitaria Lasallista,-75.63863,6.09908,Medellin,25.109048588885656
38,Itagüí - I.E. Concejo Municipal de Itagüí,-75.64436,6.1685,Itagüí,20.67269600284664
44,"Medellín, El Poblado - Tanques La Ye EPM",-75.55064,6.18254,Medellin,20.6166978484565
48,Estación Tráfico Sur,-75.62749,6.15231,Medellin,37.57735273245665
69,Caldas - E U Joaquín Aristizabal,-75.63776,6.09308,Caldas,19.166954554387882
78,La Estrella - Hospital,-75.64417,6.15553,La Estrella,18.005977237370015
79,"Medellín, Altavista - I.E. Pedro Octavio Amado",-75.6106,6.22189,Medellin,20.006244765280538
80,"Medellín, Villahermosa - Planta de producción de agua potable EPM",-75.54826,6.25891,Medellin,19.269758844632022
81,Barbosa - Torre Social,-75.3304,6.43696,Barbosa,12.279096051133713
82,Copacabana - Ciudadela Educativa La Vida,-75.50475,6.34536,Copacabana,15.15604112840467
83,"Medellin, Belén - I.E Pedro Justo Berrio",-75.61047,6.23723,Medellin,21.362862645197847
84,"Medellín, El Poblado - I.E INEM sede Santa Catalina",-75.56095,6.19987,Medellin,17.591889607250756
85,"Medellín, San Cristobal - Parque Biblioteca Fernando Botero",-75.63643,6.27785,Medellin,15.302562925866766
86,"Medellín, Aranjuez - I.E Ciro Mendia",-75.55552,6.29048,Medellin,22.60306763475012
87,Bello - I.E. Fernando Vélez,-75.5678,6.33755,Bello,16.6640224390002
88,Envigado - E.S.E. Santa Gertrudis,-75.58197,6.16868,Envigado,17.66955878099791
90,Sabaneta - I.E. Rafael J. Mejía,-75.62126,6.1455,Sabaneta,16.35359238490566
